cve,cvss,epss,percentile
CVE-2008-3103,9.3,0.0250000000,0.8883500000
CVE-2008-3104,6.8,0.0358800000,0.9050900000
CVE-2008-3105,8.3,0.0571400000,0.9243300000
CVE-2008-3106,4.3,0.0102700000,0.8210700000
CVE-2008-3107,10.0,0.0216700000,0.8803400000
CVE-2008-3109,7.5,0.0182900000,0.8683700000
CVE-2008-3110,4.3,0.0082000000,0.7986400000
CVE-2008-3111,10.0,0.6750700000,0.9754800000
CVE-2008-3112,10.0,0.0196200000,0.8736000000
CVE-2008-3113,10.0,0.0231000000,0.8841200000
CVE-2008-3114,5.0,0.0118900000,0.8349400000
CVE-2008-3259,1.2,0.0004200000,0.0568200000
CVE-2008-3273,5.0,0.0053200000,0.7434800000
CVE-2008-3465,9.3,0.0199400000,0.8747800000
CVE-2008-3471,9.3,0.9596400000,0.9926700000
CVE-2008-3477,9.3,0.9108100000,0.9851000000
CVE-2008-3658,7.5,0.0333000000,0.9018800000
CVE-2008-3659,6.4,0.0346800000,0.9035800000
CVE-2008-3660,5.0,0.0480200000,0.9176400000
CVE-2008-3704,9.3,0.9633900000,0.9937800000
CVE-2008-3807,9.3,0.0078200000,0.7934300000
CVE-2008-3821,4.3,0.0042000000,0.7116900000
CVE-2008-3842,4.3,0.4037300000,0.9681600000
CVE-2008-3843,4.3,0.3267000000,0.9647900000
CVE-2008-3963,4.0,0.0479300000,0.9175600000
CVE-2008-3973,1.7,0.0006200000,0.2463700000
CVE-2008-3974,4.0,0.0109500000,0.8271200000
CVE-2008-3976,5.5,0.0014600000,0.5004700000
CVE-2008-3978,5.5,0.0072500000,0.7841800000
CVE-2008-3979,5.5,0.9681100000,0.9956000000
CVE-2008-3980,4.9,0.0014800000,0.5035900000
CVE-2008-3981,5.0,0.0045300000,0.7225900000
CVE-2008-3982,5.5,0.9505800000,0.9905300000
CVE-2008-3983,5.5,0.9589600000,0.9924900000
CVE-2008-3984,5.5,0.9589600000,0.9924900000
CVE-2008-3989,6.5,0.0031400000,0.6667900000
CVE-2008-3990,4.0,0.0085500000,0.8029300000
